Fold,Accuracy,F1_Macro,F1_Weighted,Precision_Macro,Recall_Macro
1,0.43291839557399725,0.3990345308054075,0.4162170941081472,0.43435189997785717,0.4045154687915908
2,0.41632088520055327,0.36766944068445134,0.3900069173929213,0.4337774073767282,0.3803273540763315
3,0.41412742382271467,0.37016944162772747,0.38898888748546867,0.4501713608153326,0.3805001760573983
4,0.407202216066482,0.3528846490347097,0.37464041038363965,0.419105132468817,0.37166138888654837
5,0.4224376731301939,0.38074364732451577,0.40018146594581905,0.4404860380524097,0.38859329850144997
