Metric,Mean,Std
Accuracy,0.4186013187587882,0.008658544435387409
F1-Score (Macro),0.3741003418953624,0.015315099571879877
F1-Score (Weighted),0.39400695506319916,0.013767056456913396
Precision (Macro),0.4355783677382289,0.010130704185725817
Recall (Macro),0.3851195372626638,0.011078758525832517
